	pair	relatedness	second_guess	loglik_ratio	withinDeg_second_guess	withinDeg_ll
1409	KFP015_KFP046	un	deg3	19.13284032515844		
1410	KFP015_KFP047	un	deg3	20.146542197030954		
1411	KFP015_KFP048	un	deg3	20.324553558012443		
1412	KFP015_KFP049	un	deg3	22.28656179573909		
1413	KFP015_KFP050	un	deg3	20.308909205368536		
1414	KFP015_KFP051	un	deg3	23.035745371633087		
1415	KFP015_KFP052	un	deg3	22.732161388915983		
1416	KFP015_KFP053	un	deg3	22.802172532838767		
1417	KFP015_KFP054	un	deg3	20.522172381361315		
1418	KFP015_KFP055	un	deg3	18.326911918304404		
1419	KFP015_KFP056	un	deg3	24.046779738479014		
1420	KFP015_KFP057	un	deg3	24.34919766967005		
1421	KFP015_KFP058	un	deg3	19.25010834706609		
1422	KFP015_KFP059	un	deg3	23.289656070674482		
1423	KFP015_KFP060	un	deg3	23.230203283126453		
1424	KFP015_KFP061	un	deg3	21.430382422630373		
1425	KFP015_KFP062	un	deg3	15.565608570002494		
1426	KFP015_KFP063	un	deg3	22.316429975854817		
1427	KFP015_KFP064	un	deg3	17.166427041203633		
1428	KFP015_KFP065	un	deg3	20.832575259797977		
1429	KFP015_KFP066	un	deg3	20.30992989814968		
1430	KFP015_KFP067	un	deg3	22.72075747063559		
1431	KFP015_KFP068	un	deg3	22.44725092057661		
1432	KFP015_KFP069	un	deg3	17.40699474149892		
1433	KFP015_KFP070	un	deg3	21.73327053315007		
1434	KFP015_KFP071	un	deg3	20.00144736899188		
1435	KFP015_KFP072	un	deg3	20.757210020272623		
1436	KFP015_KFP073	un	deg3	22.98608153672194		
1437	KFP015_KFP074	un	deg3	22.0841357589652		
1438	KFP015_KFP075	un	deg3	21.574761773937325		
1439	KFP015_KFP076	un	deg3	23.97335885145617		
1440	KFP015_KFP077	un	deg3	20.81742443517328		
1441	KFP015_KFP078	un	deg3	18.917311327579228		
1442	KFP015_KFP079	un	deg3	24.067576791549982		
1443	KFP015_KFP080	un	deg3	22.26920019901445		
1444	KFP015_KFP081	un	deg3	21.169992266555255		
1445	KFP015_KFP082	un	deg3	23.138156622306727		
1446	KFP015_KFP083	un	deg3	19.95626767219505		
1447	KFP015_KFP084	un	deg3	22.822862195447893		
1448	KFP015_KFP085	un	deg3	23.325496649168603		
1449	KFP015_KFP086	un	deg3	22.940952735380503		
1450	KFP015_KFP087	un	deg3	22.304547461337734		
1451	KFP015_KFP088	un	deg3	22.635818291546002		
1452	KFP015_KFP089	un	deg3	11.350476142195705		
1453	KFP015_KFP090	un	deg3	24.43879002596191		
1454	KFP015_KFP091	un	deg3	23.06689543422317		
1455	KFP015_KFP092	un	deg3	24.523484111997963		
1456	KFP015_KFP093	un	deg3	22.744388257477798		
1457	KFP015_KFP094	un	deg3	18.727761959266445		
1458	KFP015_KFP095	un	deg3	24.263560172678808		
1459	KFP015_KFP096	un	deg3	22.561251485703448		
1460	KFP015_KFP097	un	deg3	21.857110017023388		
1461	KFP015_KFP098	un	deg3	23.457012868415863		
1462	KFP015_KFP099	un	deg3	19.60510031981198		
1463	KFP015_KFP100	un	deg3	22.013491954260417		
1464	KFP015_KFP101	un	deg3	21.53205705662936		
1465	KFP015_KFP102	un	deg3	21.94465811341752		
1466	KFP015_KFP103	un	deg3	23.27044027130205		
1467	KFP015_KFP104	un	deg3	15.15612005226717		
1468	KFP015_KFP105	un	deg3	22.500492127752064		
1469	KFP015_KFP106	un	deg3	19.99021290054975		
1470	KFP016_KFP017	sec	deg3	15.104890426057407		
1471	KFP016_KFP018	un	deg3	19.08113577384279		
1472	KFP016_KFP019	un	deg3	18.434113697890094		
1473	KFP016_KFP020	un	deg3	14.994870246782966		
1474	KFP016_KFP021	un	deg3	21.244182988667035		
1475	KFP016_KFP022	un	deg3	21.553179403863172		
1476	KFP016_KFP023	un	deg3	14.496534807754188		
1477	KFP016_KFP024	un	deg3	23.24974793731872		
1478	KFP016_KFP025	un	deg3	22.667992335561852		
1479	KFP016_KFP026	un	deg3	14.674665360577135		
1480	KFP016_KFP027	un	deg3	21.40624587828984		
1481	KFP016_KFP028	un	deg3	13.43424736331599		
1482	KFP016_KFP029	un	deg3	21.653037750559633		
1483	KFP016_KFP030	un	deg3	14.166518231960936		
1484	KFP016_KFP031	un	deg3	21.46524138004133		
1485	KFP016_KFP032	un	deg3	22.018472732693912		
1486	KFP016_KFP033	un	deg3	17.411710066375914		
1487	KFP016_KFP034	un	deg3	15.30597416183582		
1488	KFP016_KFP035	un	deg3	9.72824121785584		
1489	KFP016_KFP036	un	deg3	15.24351152255258		
1490	KFP016_KFP037	un	deg3	21.18243506349063		
1491	KFP016_KFP038	un	deg3	17.82490452425884		
1492	KFP016_KFP039	un	deg3	14.791329846014378		
1493	KFP016_KFP040	un	deg3	18.08062455010895		
1494	KFP016_KFP041	un	deg3	15.039660511500642		
1495	KFP016_KFP042	un	deg3	20.28352549334932		
1496	KFP016_KFP043	un	deg3	19.299386004407552		
1497	KFP016_KFP044	un	deg3	22.742469711416106		
1498	KFP016_KFP045	un	deg3	16.89575444744105		
1499	KFP016_KFP046	un	deg3	14.266479341257766		
1500	KFP016_KFP047	sib	sec	21.00216019970321	pc	20.165995580707886
1501	KFP016_KFP048	un	deg3	15.236536675414756		
1502	KFP016_KFP049	sec	deg3	12.013593980972244		
1503	KFP016_KFP050	un	deg3	16.542320093883287		
1504	KFP016_KFP051	un	deg3	18.003501477319556		
1505	KFP016_KFP052	un	deg3	13.575215118055212		
1506	KFP016_KFP053	un	deg3	14.720467237353661		
1507	KFP016_KFP054	un	deg3	14.21434791050865		
1508	KFP016_KFP055	un	deg3	13.239000466849804		
1509	KFP016_KFP056	un	deg3	24.039367965921432		
1510	KFP016_KFP057	un	deg3	19.449046005654964		
1511	KFP016_KFP058	un	deg3	17.804171144877955		
1512	KFP016_KFP059	un	deg3	19.833219616707996		
1513	KFP016_KFP060	un	deg3	15.484581804046226		
1514	KFP016_KFP061	un	deg3	21.486886846531206		
1515	KFP016_KFP062	un	deg3	21.868279919285893		
1516	KFP016_KFP063	un	deg3	14.248333244470814		
1517	KFP016_KFP064	un	deg3	20.528877492481342		
1518	KFP016_KFP065	un	deg3	13.658553839518163		
1519	KFP016_KFP066	un	deg3	12.892108691097064		
1520	KFP016_KFP067	un	deg3	16.16277585873263		
1521	KFP016_KFP068	un	deg3	22.546505718996514		
1522	KFP016_KFP069	un	deg3	19.456002553527924		
1523	KFP016_KFP070	un	deg3	14.292280510726867		
1524	KFP016_KFP071	un	deg3	17.817858913336636		
1525	KFP016_KFP072	un	deg3	18.517959879746968		
1526	KFP016_KFP073	un	deg3	14.005748702069926		
1527	KFP016_KFP074	un	deg3	17.059357410750412		
1528	KFP016_KFP075	un	deg3	13.961169897856735		
1529	KFP016_KFP076	un	deg3	22.183514400536982		
1530	KFP016_KFP077	un	deg3	22.38996834390969		
1531	KFP016_KFP078	un	deg3	16.199557887220635		
1532	KFP016_KFP079	un	deg3	17.7620021995524		
1533	KFP016_KFP080	un	deg3	22.017052061647973		
1534	KFP016_KFP081	un	deg3	18.381485241649447		
1535	KFP016_KFP082	un	deg3	21.16658939049375		
1536	KFP016_KFP083	un	deg3	15.434442592893676		
1537	KFP016_KFP084	un	deg3	14.14328817187311		
1538	KFP016_KFP085	un	deg3	15.214024225147568		
1539	KFP016_KFP086	un	deg3	15.939297731005356		
1540	KFP016_KFP087	un	deg3	17.14770478350124		
1541	KFP016_KFP088	un	deg3	17.188659766800356		
1542	KFP016_KFP089	un	deg3	17.791433584082824		
1543	KFP016_KFP090	un	deg3	22.455078776445816		
1544	KFP016_KFP091	un	deg3	23.166781753549916		
1545	KFP016_KFP092	un	deg3	19.34692476248506		
1546	KFP016_KFP093	un	deg3	22.939824425739747		
1547	KFP016_KFP094	un	deg3	19.59372608364333		
1548	KFP016_KFP095	un	deg3	16.897266630727014		
1549	KFP016_KFP096	un	deg3	13.86558276601454		
1550	KFP016_KFP097	un	deg3	19.002937780227285		
1551	KFP016_KFP098	un	deg3	20.29455842468769		
1552	KFP016_KFP099	un	deg3	18.689302009868697		
1553	KFP016_KFP100	un	deg3	21.62510046198554		
1554	KFP016_KFP101	un	deg3	23.263385248751998		
1555	KFP016_KFP102	un	deg3	15.503459466755205		
1556	KFP016_KFP103	un	deg3	15.278339812726701		
1557	KFP016_KFP104	un	deg3	22.69925706475874		
