	pair	relatedness	second_guess	loglik_ratio	withinDeg_second_guess	withinDeg_ll
454	RKC018_RKC021	pc	sec	36.8815152551542	sib	81.9240837455241
455	RKC019_RKC020	pc	sec	38.6274402876688	sib	83.0972180515885
456	RKC019_RKC023	pc	sec	39.0027259533099	sib	82.1119441132589
457	RKC020_RKF142	pc	sec	41.0726274446056	sib	83.585564901002
458	RKC021_RKF088	pc	sec	41.696236921006	sib	87.2735328227554
459	RKC023_RKF142	pc	sec	40.064085716795	sib	80.8189273833302
460	RKC024_RKC028	pc	sec	36.1062205499829	sib	71.630487691662
461	RKC028_RKC038	pc	sec	38.0510051455945	sib	77.8000096691576
462	RKC028_RKF014	pc	sec	41.2699315518835	sib	74.8585371458166
463	RKC030_RKC033	pc	sec	35.9108683191296	sib	72.1096657189594
464	RKC031_RKC033	pc	sec	37.2924495697191	sib	73.1848933496985
465	RKC031_RKC035	pc	sec	42.3376371860372	sib	87.8386549086501
466	RKC032_RKC035	pc	sec	42.4651935061077	sib	87.7911300143153
467	RKC033_RKC036	pc	sec	32.5900614979425	sib	71.1110951897658
468	RKC033_RKC038	pc	sec	36.2648987753987	sib	75.7454849788933
469	RKC033_RKC042	pc	sec	35.3331221044166	sib	75.6412145399363
470	RKC034_RKC045	pc	sec	41.4630255706429	sib	82.2011141310518
471	RKC039_RKC047	pc	sec	39.8088311463161	sib	76.3925501114877
472	RKC043_RKC044	pc	sec	40.7822490090648	sib	77.4205448197963
473	RKF002_RKF142	pc	sec	38.7344406768837	sib	77.2161043825538
474	RKF004_RKF139	pc	sec	43.0572190016001	sib	84.6595373826469
475	RKF005_RKF162	pc	sec	38.6254979686328	sib	70.4138952591443
476	RKF010_RKF028	pc	sec	40.9659248609905	sib	76.8932634812452
477	RKF010_RKF042	pc	sec	40.9653144752813	sib	74.0503741245209
478	RKF011_RKF099	pc	sec	39.9244773867947	sib	78.7265476082626
479	RKF011_RKF191	pc	sec	42.3013460985965	sib	83.2222646500491
480	RKF012_RKF013	pc	sec	29.2820936018185	sib	59.717925750693
481	RKF012_RKF019	pc	sec	23.1353707166857	sib	48.238089279366
482	RKF012_RKF042	pc	sec	28.025498637663	sib	58.4046224010996
483	RKF012_RKF100	pc	sec	23.3487478729126	sib	40.4222779597512
484	RKF012_RKF144	pc	sec	28.645009213044	sib	51.8206669548229
485	RKF014_RKF140	pc	sec	40.6747524809534	sib	80.45648030708
486	RKF015_RKF019	pc	sec	39.3631907975903	sib	75.7611010898488
487	RKF015_RKF120	pc	sec	39.5705554488732	sib	77.2180492834823
488	RKF016_RKF042	pc	sec	41.7280588076999	sib	74.38237909232
489	RKF016_RKF140	pc	sec	42.8656448505487	sib	83.543029331554
490	RKF018_RKF020	pc	sec	40.4586867172218	sib	81.403721371496
